player,round,hole,strokes,par,score
"Pugh, Chandler",1,8,3,3,0
"Pugh, Chandler",1,9,6,4,2
"Pugh, Chandler",1,10,4,4,0
"Pugh, Chandler",1,11,6,5,1
"Pugh, Chandler",1,12,3,3,0
"Pugh, Chandler",1,13,4,4,0
"Pugh, Chandler",1,14,4,5,-1
"Pugh, Chandler",1,15,5,4,1
"Pugh, Chandler",1,16,3,3,0
"Pugh, Chandler",1,17,4,4,0
"Pugh, Chandler",1,18,4,4,0
"Bicerne, Eduardo",1,1,5,5,0
"Bicerne, Eduardo",1,2,5,4,1
"Bicerne, Eduardo",1,3,4,3,1
"Bicerne, Eduardo",1,4,5,4,1
"Bicerne, Eduardo",1,5,5,4,1
"Bicerne, Eduardo",1,6,4,4,0
"Bicerne, Eduardo",1,7,5,5,0
"Bicerne, Eduardo",1,8,4,3,1
"Bicerne, Eduardo",1,9,4,4,0
"Bicerne, Eduardo",1,10,5,4,1
"Bicerne, Eduardo",1,11,6,5,1
"Bicerne, Eduardo",1,12,3,3,0
"Bicerne, Eduardo",1,13,4,4,0
"Bicerne, Eduardo",1,14,4,5,-1
"Bicerne, Eduardo",1,15,4,4,0
"Bicerne, Eduardo",1,16,3,3,0
"Bicerne, Eduardo",1,17,4,4,0
"Bicerne, Eduardo",1,18,5,4,1
"Montano, Fabio",1,1,6,5,1
"Montano, Fabio",1,2,5,4,1
"Montano, Fabio",1,3,4,3,1
"Montano, Fabio",1,4,5,4,1
"Montano, Fabio",1,5,4,4,0
"Montano, Fabio",1,6,3,4,-1
"Montano, Fabio",1,7,5,5,0
"Montano, Fabio",1,8,4,3,1
"Montano, Fabio",1,9,5,4,1
"Montano, Fabio",1,10,3,4,-1
"Montano, Fabio",1,11,6,5,1
"Montano, Fabio",1,12,3,3,0
"Montano, Fabio",1,13,4,4,0
"Montano, Fabio",1,14,5,5,0
"Montano, Fabio",1,15,4,4,0
"Montano, Fabio",1,16,4,3,1
"Montano, Fabio",1,17,4,4,0
"Montano, Fabio",1,18,5,4,1
"Moorefield, Sebastian",1,1,5,5,0
"Moorefield, Sebastian",1,2,4,4,0
"Moorefield, Sebastian",1,3,3,3,0
"Moorefield, Sebastian",1,4,4,4,0
"Moorefield, Sebastian",1,5,4,4,0
"Moorefield, Sebastian",1,6,6,4,2
"Moorefield, Sebastian",1,7,5,5,0
"Moorefield, Sebastian",1,8,4,3,1
"Moorefield, Sebastian",1,9,5,4,1
"Moorefield, Sebastian",1,10,4,4,0
"Moorefield, Sebastian",1,11,6,5,1
"Moorefield, Sebastian",1,12,4,3,1
"Moorefield, Sebastian",1,13,4,4,0
"Moorefield, Sebastian",1,14,5,5,0
"Moorefield, Sebastian",1,15,4,4,0
"Moorefield, Sebastian",1,16,3,3,0
"Moorefield, Sebastian",1,17,4,4,0
"Moorefield, Sebastian",1,18,5,4,1
"Bhasin, Gurmukh",1,1,6,5,1
"Bhasin, Gurmukh",1,2,4,4,0
"Bhasin, Gurmukh",1,3,4,3,1
"Bhasin, Gurmukh",1,4,4,4,0
"Bhasin, Gurmukh",1,5,4,4,0
"Bhasin, Gurmukh",1,6,4,4,0
"Bhasin, Gurmukh",1,7,4,5,-1
"Bhasin, Gurmukh",1,8,3,3,0
"Bhasin, Gurmukh",1,9,6,4,2
"Bhasin, Gurmukh",1,10,5,4,1
"Bhasin, Gurmukh",1,11,6,5,1
"Bhasin, Gurmukh",1,12,3,3,0
"Bhasin, Gurmukh",1,13,4,4,0
"Bhasin, Gurmukh",1,14,5,5,0
"Bhasin, Gurmukh",1,15,4,4,0
"Bhasin, Gurmukh",1,16,3,3,0
"Bhasin, Gurmukh",1,17,4,4,0
"Bhasin, Gurmukh",1,18,6,4,2
"Copello, Mariano",1,1,6,5,1
"Copello, Mariano",1,2,4,4,0
"Copello, Mariano",1,3,3,3,0
"Copello, Mariano",1,4,4,4,0
"Copello, Mariano",1,5,4,4,0
"Copello, Mariano",1,6,3,4,-1
"Copello, Mariano",1,7,5,5,0
"Copello, Mariano",1,8,5,3,2
"Copello, Mariano",1,9,5,4,1
"Copello, Mariano",1,10,4,4,0
"Copello, Mariano",1,11,6,5,1
"Copello, Mariano",1,12,3,3,0
"Copello, Mariano",1,13,3,4,-1
"Copello, Mariano",1,14,8,5,3
"Copello, Mariano",1,15,4,4,0
"Copello, Mariano",1,16,3,3,0
"Copello, Mariano",1,17,4,4,0
"Copello, Mariano",1,18,5,4,1
"Perez, Gaston",1,1,5,5,0
"Perez, Gaston",1,2,4,4,0
"Perez, Gaston",1,3,3,3,0
"Perez, Gaston",1,4,5,4,1
"Perez, Gaston",1,5,4,4,0
"Perez, Gaston",1,6,4,4,0
"Perez, Gaston",1,7,6,5,1
"Perez, Gaston",1,8,4,3,1
"Perez, Gaston",1,9,4,4,0
"Perez, Gaston",1,10,4,4,0
"Perez, Gaston",1,11,5,5,0
"Perez, Gaston",1,12,4,3,1
"Perez, Gaston",1,13,4,4,0
"Perez, Gaston",1,14,6,5,1
"Perez, Gaston",1,15,4,4,0
"Perez, Gaston",1,16,3,3,0
"Perez, Gaston",1,17,4,4,0
"Perez, Gaston",1,18,6,4,2
