player,round,hole,strokes,par,yds,score,time
"Richardson, Nick",1,12,5,3,96,2,12:30:00
"Richardson, Nick",1,13,3,4,162,-1,12:45:00
"Richardson, Nick",1,14,4,5,250,-1,13:00:00
"Richardson, Nick",1,15,4,4,230,0,13:15:00
"Richardson, Nick",1,16,4,4,144,0,09:00:00
"Richardson, Nick",1,17,4,4,235,0,09:15:00
"Richardson, Nick",1,18,3,3,95,0,09:30:00
"Mickael, Lampenois",1,1,5,4,235,1,09:30:00
"Mickael, Lampenois",1,2,5,4,215,1,09:45:00
"Mickael, Lampenois",1,3,3,4,289,-1,10:00:00
"Mickael, Lampenois",1,4,5,5,301,0,10:15:00
"Mickael, Lampenois",1,5,4,3,100,1,10:30:00
"Mickael, Lampenois",1,6,5,5,246,0,10:45:00
"Mickael, Lampenois",1,7,5,4,200,1,11:00:00
"Mickael, Lampenois",1,8,4,3,135,1,11:15:00
"Mickael, Lampenois",1,9,4,4,267,0,11:30:00
"Mickael, Lampenois",1,10,6,4,225,2,11:45:00
"Mickael, Lampenois",1,11,3,5,259,-2,12:00:00
"Mickael, Lampenois",1,12,3,3,96,0,12:15:00
"Mickael, Lampenois",1,13,3,4,162,-1,12:30:00
"Mickael, Lampenois",1,14,4,5,250,-1,12:45:00
"Mickael, Lampenois",1,15,4,4,230,0,13:00:00
"Mickael, Lampenois",1,16,3,4,144,-1,13:15:00
"Mickael, Lampenois",1,17,4,4,235,0,09:00:00
"Mickael, Lampenois",1,18,3,3,95,0,09:15:00
"Loustau, Lucas",1,1,8,4,235,4,11:15:00
"Loustau, Lucas",1,2,5,4,215,1,11:30:00
"Loustau, Lucas",1,3,3,4,289,-1,11:45:00
"Loustau, Lucas",1,4,6,5,301,1,12:00:00
"Loustau, Lucas",1,5,3,3,100,0,12:15:00
"Loustau, Lucas",1,6,6,5,246,1,12:30:00
"Loustau, Lucas",1,7,5,4,200,1,12:45:00
"Loustau, Lucas",1,8,3,3,135,0,13:00:00
"Loustau, Lucas",1,9,5,4,267,1,13:15:00
"Loustau, Lucas",1,10,5,4,225,1,09:00:00
"Loustau, Lucas",1,11,4,5,259,-1,09:15:00
"Loustau, Lucas",1,12,3,3,96,0,09:30:00
"Loustau, Lucas",1,13,4,4,162,0,09:45:00
"Loustau, Lucas",1,14,4,5,250,-1,10:00:00
"Loustau, Lucas",1,15,3,4,230,-1,10:15:00
"Loustau, Lucas",1,16,3,4,144,-1,10:30:00
"Loustau, Lucas",1,17,3,4,235,-1,10:45:00
"Loustau, Lucas",1,18,3,3,95,0,11:00:00
"McNamara, Sean",1,1,7,4,235,3,12:15:00
"McNamara, Sean",1,2,4,4,215,0,12:30:00
"McNamara, Sean",1,3,3,4,289,-1,12:45:00
"McNamara, Sean",1,4,5,5,301,0,13:00:00
"McNamara, Sean",1,5,3,3,100,0,13:15:00
"McNamara, Sean",1,6,4,5,246,-1,09:00:00
"McNamara, Sean",1,7,5,4,200,1,09:15:00
"McNamara, Sean",1,8,4,3,135,1,09:30:00
"McNamara, Sean",1,9,5,4,267,1,09:45:00
"McNamara, Sean",1,10,4,4,225,0,10:00:00
"McNamara, Sean",1,11,4,5,259,-1,10:15:00
"McNamara, Sean",1,12,4,3,96,1,10:30:00
"McNamara, Sean",1,13,4,4,162,0,10:45:00
"McNamara, Sean",1,14,4,5,250,-1,11:00:00
"McNamara, Sean",1,15,5,4,230,1,11:15:00
"McNamara, Sean",1,16,4,4,144,0,11:30:00
"McNamara, Sean",1,17,5,4,235,1,11:45:00
"McNamara, Sean",1,18,2,3,95,-1,12:00:00
"Kuwata, Hiroyuki",1,1,5,4,235,1,11:15:00
"Kuwata, Hiroyuki",1,2,6,4,215,2,11:30:00
"Kuwata, Hiroyuki",1,3,2,4,289,-2,11:45:00
"Kuwata, Hiroyuki",1,4,8,5,301,3,12:00:00
