player,round,hole,strokes,par,score
"Matteoli, Richard Zak",1,9,4,5,-1
"Matteoli, Richard Zak",1,10,3,4,-1
"Matteoli, Richard Zak",1,11,4,4,0
"Matteoli, Richard Zak",1,12,3,3,0
"Matteoli, Richard Zak",1,13,4,4,0
"Matteoli, Richard Zak",1,14,5,5,0
"Matteoli, Richard Zak",1,15,4,4,0
"Matteoli, Richard Zak",1,16,4,4,0
"Matteoli, Richard Zak",1,17,4,5,-1
"Matteoli, Richard Zak",1,18,3,3,0
"DeTranquilli, Darcy",1,1,6,5,1
"DeTranquilli, Darcy",1,2,4,4,0
"DeTranquilli, Darcy",1,3,5,3,2
"DeTranquilli, Darcy",1,4,5,4,1
"DeTranquilli, Darcy",1,5,4,4,0
"DeTranquilli, Darcy",1,6,5,4,1
"DeTranquilli, Darcy",1,7,4,3,1
"DeTranquilli, Darcy",1,8,5,4,1
"DeTranquilli, Darcy",1,9,4,5,-1
"DeTranquilli, Darcy",1,10,3,4,-1
"DeTranquilli, Darcy",1,11,5,4,1
"DeTranquilli, Darcy",1,12,3,3,0
"DeTranquilli, Darcy",1,13,3,4,-1
"DeTranquilli, Darcy",1,14,4,5,-1
"DeTranquilli, Darcy",1,15,4,4,0
"DeTranquilli, Darcy",1,16,5,4,1
"DeTranquilli, Darcy",1,17,4,5,-1
"DeTranquilli, Darcy",1,18,2,3,-1
"Morgan, Kareem",1,1,5,5,0
"Morgan, Kareem",1,2,5,4,1
"Morgan, Kareem",1,3,5,3,2
"Morgan, Kareem",1,4,6,4,2
"Morgan, Kareem",1,5,4,4,0
"Morgan, Kareem",1,6,4,4,0
"Morgan, Kareem",1,7,2,3,-1
"Morgan, Kareem",1,8,4,4,0
"Morgan, Kareem",1,9,5,5,0
"Morgan, Kareem",1,10,4,4,0
"Morgan, Kareem",1,11,4,4,0
"Morgan, Kareem",1,12,3,3,0
"Morgan, Kareem",1,13,4,4,0
"Morgan, Kareem",1,14,5,5,0
"Morgan, Kareem",1,15,4,4,0
"Morgan, Kareem",1,16,4,4,0
"Morgan, Kareem",1,17,5,5,0
"Morgan, Kareem",1,18,4,3,1
"Barron, Mario Cesar",1,1,5,5,0
"Barron, Mario Cesar",1,2,5,4,1
"Barron, Mario Cesar",1,3,4,3,1
"Barron, Mario Cesar",1,4,4,4,0
"Barron, Mario Cesar",1,5,4,4,0
"Barron, Mario Cesar",1,6,4,4,0
"Barron, Mario Cesar",1,7,3,3,0
"Barron, Mario Cesar",1,8,5,4,1
"Barron, Mario Cesar",1,9,5,5,0
"Barron, Mario Cesar",1,10,4,4,0
"Barron, Mario Cesar",1,11,4,4,0
"Barron, Mario Cesar",1,12,3,3,0
"Barron, Mario Cesar",1,13,4,4,0
"Barron, Mario Cesar",1,14,5,5,0
"Barron, Mario Cesar",1,15,4,4,0
"Barron, Mario Cesar",1,16,4,4,0
"Barron, Mario Cesar",1,17,5,5,0
"Barron, Mario Cesar",1,18,4,3,1
"McNamara, Sean",1,1,5,5,0
"McNamara, Sean",1,2,5,4,1
"McNamara, Sean",1,3,4,3,1
"McNamara, Sean",1,4,4,4,0
"McNamara, Sean",1,5,4,4,0
"McNamara, Sean",1,6,3,4,-1
"McNamara, Sean",1,7,3,3,0
"McNamara, Sean",1,8,5,4,1
"McNamara, Sean",1,9,5,5,0
"McNamara, Sean",1,10,4,4,0
"McNamara, Sean",1,11,3,4,-1
"McNamara, Sean",1,12,3,3,0
"McNamara, Sean",1,13,5,4,1
"McNamara, Sean",1,14,5,5,0
"McNamara, Sean",1,15,3,4,-1
"McNamara, Sean",1,16,4,4,0
"McNamara, Sean",1,17,4,5,-1
"McNamara, Sean",1,18,2,3,-1
"Shuey, Nathan",1,1,5,5,0
"Shuey, Nathan",1,2,4,4,0
"Shuey, Nathan",1,3,3,3,0
"Shuey, Nathan",1,4,4,4,0
"Shuey, Nathan",1,5,4,4,0
"Shuey, Nathan",1,6,4,4,0
"Shuey, Nathan",1,7,4,3,1
"Shuey, Nathan",1,8,4,4,0
"Shuey, Nathan",1,9,5,5,0
"Shuey, Nathan",1,10,3,4,-1
"Shuey, Nathan",1,11,4,4,0
"Shuey, Nathan",1,12,3,3,0
"Shuey, Nathan",1,13,3,4,-1
"Shuey, Nathan",1,14,5,5,0
"Shuey, Nathan",1,15,5,4,1
"Shuey, Nathan",1,16,5,4,1
"Shuey, Nathan",1,17,5,5,0
"Shuey, Nathan",1,18,3,3,0
"Loustau, Lucas",1,1,4,5,-1
"Loustau, Lucas",1,2,5,4,1
"Loustau, Lucas",1,3,5,3,2
"Loustau, Lucas",1,4,4,4,0
"Loustau, Lucas",1,5,4,4,0
